regime,month,hour,chiller_kwh_h,gas_smc_h,active_chiller_count,chiller_forecast_pred_kwh_h,gas_forecast_pred_smc_h
cooling,7,1,1343.1495161290322,116.03225806451613,3.5,1341.3835158863876,116.92911546556579
cooling,7,2,1313.7187096774194,117.74193548387096,3.435483870967742,1312.4106920272238,118.37550386644705
cooling,7,3,1319.4322580645162,116.38709677419355,3.5,1317.1233184227501,117.39972719731105
cooling,7,4,1274.5091935483872,118.37096774193549,3.4193548387096775,1277.9227347599171,118.59556274072312
cooling,7,5,1272.2225806451613,118.60483870967742,3.3870967741935485,1278.0178217776904,118.48329283203053
cooling,7,6,1283.4287096774194,129.23612903225808,3.4516129032258065,1290.2162104253064,127.71841610427488
cooling,7,7,1370.5559677419355,128.43774193548387,3.5,1368.0846900205363,127.65681516855396
cooling,7,8,1479.600322580645,114.13129032258065,3.5806451612903225,1468.0404345142215,114.79573873953733
cooling,7,9,1497.7372580645163,106.22806451612904,3.596774193548387,1489.7518123994587,106.01986089692095
cooling,7,10,1519.9061290322581,92.35709677419355,3.6774193548387095,1517.4876454720375,93.13277757798546
cooling,7,11,1557.6006451612905,95.4216129032258,3.7419354838709675,1557.4022908427867,94.97456214094045
cooling,7,12,1588.6854838709678,92.53451612903227,3.725806451612903,1591.4320090741662,92.0276442392459
cooling,7,13,1623.22,84.6774193548387,3.774193548387097,1625.7421824460405,84.62497177345425
cooling,7,14,1591.0377419354838,81.1774193548387,3.806451612903226,1597.7158517653893,80.56116498549967
cooling,7,15,1624.451129032258,81.80645161290323,3.806451612903226,1624.8049409692976,80.90376993875141
cooling,7,16,1633.0132258064518,85.70967741935483,3.7580645161290325,1630.7047098103665,85.31802820960776
cooling,7,17,1599.0195161290324,81.09677419354838,3.6774193548387095,1598.7793511891778,81.63377342951496
cooling,7,18,1604.29,83.45161290322581,3.7096774193548385,1600.136759011392,83.30067409163287
cooling,7,19,1561.303870967742,93.24193548387096,3.6451612903225805,1557.1021673408566,92.45833211388242
cooling,7,20,1509.133870967742,100.7741935483871,3.693548387096774,1512.3577023194525,100.73155179680673
cooling,7,21,1461.263064516129,104.37096774193549,3.5806451612903225,1463.228087972981,104.83344769590367
cooling,7,22,1400.2903225806451,109.64516129032258,3.564516129032258,1405.5329451582174,109.55134497552228
cooling,7,23,1325.2885483870969,113.59677419354838,3.467741935483871,1334.1460843733769,114.0224970907085
cooling,8,0,1160.3216129032257,69.8225806451613,2.9193548387096775,1155.9259271899773,71.1833379660918
cooling,8,1,1123.0912903225808,71.35483870967742,2.7903225806451615,1120.4300243994849,72.41686846019279
cooling,8,2,1117.7953225806452,72.06451612903226,2.838709677419355,1116.6373902647974,72.95716102349589
cooling,8,3,1081.0654838709677,72.7258064516129,2.7419354838709675,1082.801680687929,73.46576162763283
cooling,8,4,1075.468387096774,73.86564516129032,2.725806451612903,1079.5275933759217,74.19332805413413
cooling,8,5,1071.5170967741935,72.89790322580646,2.7580645161290325,1077.7873387637098,73.15361286101124
cooling,8,6,1047.8032258064516,74.13983870967742,2.693548387096774,1056.1041227041935,73.8899247367136
cooling,8,7,1040.0362903225807,75.51612903225806,2.629032258064516,1048.3511058125102,74.88523096326077
cooling,8,8,1122.495806451613,72.29032258064517,2.7096774193548385,1121.7603584842172,72.02782276384471
cooling,8,9,1184.8570967741935,67.96774193548387,2.8870967741935485,1182.9596643913499,67.68030428533716
cooling,8,10,1229.29,70.0133870967742,2.9193548387096775,1224.5725425514229,68.78261526723878
cooling,8,11,1235.3301612903226,71.465,2.903225806451613,1232.5162008327209,70.36150155857395
cooling,8,12,1260.2454838709677,71.16661290322581,2.8548387096774195,1257.8199960749748,70.26780030301148
cooling,8,13,1253.873548387097,64.36290322580645,2.8548387096774195,1257.7981132549755,64.00185817153466
cooling,8,14,1254.7590322580645,60.443548387096776,2.9193548387096775,1260.6003168378438,60.01463377313444
cooling,8,15,1269.2479032258063,59.274193548387096,2.9193548387096775,1271.641746196182,59.0103632216737
cooling,8,16,1257.6333870967742,58.564516129032256,2.870967741935484,1258.8035757146404,58.642801884568705
cooling,8,17,1269.888064516129,57.596774193548384,2.935483870967742,1269.1341642959335,57.814733410641345
cooling,8,18,1231.7377419354839,61.645161290322584,2.870967741935484,1230.9416266700525,61.31106580281241
